iso3c,year
AND,2018
AGO,2018
AIA,2018
ARG,2018
AUS,2018
AUT,2018
BHS,2018
BHR,2018
BRB,2018
BEL,2018
BLZ,2018
BEN,2018
BMU,2018
BWA,2018
BRA,2018
VGB,2018
BRN,2018
BGR,2018
BFA,2018
CMR,2018
CAN,2018
CYM,2018
CHL,2018
CHN,2018
COL,2018
COG,2018
CRI,2018
CIV,2018
HRV,2018
CUW,2018
CZE,2018
COD,2018
DNK,2018
DJI,2018
EGY,2018
EST,2018
FIN,2018
FRA,2018
GAB,2018
GEO,2018
DEU,2018
GRC,2018
GGY,2018
HTI,2018
HKG,2018
HUN,2018
ISL,2018
IND,2018
IDN,2018
IRL,2018
IMN,2018
ISR,2018
ITA,2018
JAM,2018
JPN,2018
JEY,2018
KAZ,2018
KEN,2018
KOR,2018
LVA,2018
LBR,2018
LIE,2018
LTU,2018
LUX,2018
MAC,2018
MYS,2018
MDV,2018
MLT,2018
MUS,2018
MEX,2018
MCO,2018
MNG,2018
MSR,2018
NLD,2018
NZL,2018
NGA,2018
NOR,2018
OMN,2018
PAK,2018
PAN,2018
PNG,2018
PRY,2018
PER,2018
POL,2018
PRT,2018
QAT,2018
ROU,2018
RUS,2018
KNA,2018
SMR,2018
SAU,2018
SEN,2018
SRB,2018
SYC,2018
SLE,2018
SGP,2018
SVK,2018
SVN,2018
ZAF,2018
ESP,2018
LKA,2018
LCA,2018
SWE,2018
CHE,2018
THA,2018
TTO,2018
TUN,2018
TUR,2018
TCA,2018
UKR,2018
ARE,2018
GBR,2018
USA,2018
URY,2018
VNM,2018
ZMB,2018
AND,2019
AGO,2019
AIA,2019
ATG,2019
ARG,2019
ARM,2019
ABW,2019
AUS,2019
AUT,2019
BHS,2019
BHR,2019
BRB,2019
BEL,2019
BLZ,2019
BEN,2019
BMU,2019
BWA,2019
BRA,2019
VGB,2019
BRN,2019
BGR,2019
BFA,2019
CPV,2019
CMR,2019
CAN,2019
CYM,2019
CHL,2019
CHN,2019
COL,2019
COG,2019
CRI,2019
COK,2019
CIV,2019
HRV,2019
CUW,2019
CZE,2019
COD,2019
DNK,2019
DJI,2019
DMA,2019
DOM,2019
EGY,2019
EST,2019
FRO,2019
FIN,2019
FRA,2019
GAB,2019
GEO,2019
DEU,2019
GRC,2019
GRL,2019
GRD,2019
GGY,2019
HTI,2019
HKG,2019
HUN,2019
ISL,2019
IND,2019
IDN,2019
IRL,2019
IMN,2019
ISR,2019
ITA,2019
JAM,2019
JPN,2019
JEY,2019
KAZ,2019
KEN,2019
KOR,2019
LVA,2019
LBR,2019
LIE,2019
LTU,2019
LUX,2019
MAC,2019
MYS,2019
MDV,2019
MLT,2019
MUS,2019
MEX,2019
MCO,2019
MNG,2019
MSR,2019
MAR,2019
NLD,2019
NZL,2019
NGA,2019
MKD,2019
NOR,2019
OMN,2019
PAK,2019
PAN,2019
PNG,2019
PRY,2019
PER,2019
POL,2019
PRT,2019
QAT,2019
ROU,2019
RUS,2019
KNA,2019
LCA,2019
VCT,2019
SMR,2019
SAU,2019
SEN,2019
SRB,2019
SYC,2019
SLE,2019
SGP,2019
SVK,2019
SVN,2019
ZAF,2019
ESP,2019
LKA,2019
SWE,2019
CHE,2019
THA,2019
TTO,2019
TUN,2019
TCA,2019
TUR,2019
UKR,2019
ARE,2019
GBR,2019
USA,2019
URY,2019
VNM,2019
ZMB,2019
ALB,2020
AND,2020
AGO,2020
AIA,2020
ATG,2020
ARG,2020
ARM,2020
ABW,2020
AUS,2020
AUT,2020
BHS,2020
BHR,2020
BRB,2020
BEL,2020
BLZ,2020
BEN,2020
BMU,2020
BIH,2020
BWA,2020
BRA,2020
VGB,2020
BRN,2020
BGR,2020
BFA,2020
CPV,2020
CMR,2020
CAN,2020
CYM,2020
CHL,2020
CHN,2020
COL,2020
COG,2020
COK,2020
CRI,2020
CIV,2020
HRV,2020
CUW,2020
CZE,2020
COD,2020
DNK,2020
DJI,2020
DMA,2020
DOM,2020
EGY,2020
EST,2020
SWZ,2020
FRO,2020
FIN,2020
FRA,2020
GAB,2020
GEO,2020
DEU,2020
GIB,2020
GRC,2020
GRL,2020
GRD,2020
GGY,2020
HTI,2020
HND,2020
HKG,2020
HUN,2020
ISL,2020
IND,2020
IDN,2020
IRL,2020
IMN,2020
ISR,2020
ITA,2020
JAM,2020
JPN,2020
JEY,2020
JOR,2020
KAZ,2020
KEN,2020
KOR,2020
LVA,2020
LBR,2020
LIE,2020
LTU,2020
LUX,2020
MAC,2020
MYS,2020
MDV,2020
MLT,2020
MUS,2020
MEX,2020
MCO,2020
MNG,2020
MNE,2020
MSR,2020
MAR,2020
NAM,2020
NLD,2020
NZL,2020
NGA,2020
MKD,2020
NOR,2020
OMN,2020
PAK,2020
PAN,2020
PNG,2020
PRY,2020
PER,2020
POL,2020
PRT,2020
QAT,2020
ROU,2020
RUS,2020
KNA,2020
LCA,2020
VCT,2020
SMR,2020
SAU,2020
SEN,2020
SRB,2020
SYC,2020
SLE,2020
SGP,2020
SVK,2020
SVN,2020
ZAF,2020
ESP,2020
LKA,2020
SWE,2020
CHE,2020
THA,2020
TTO,2020
TUN,2020
TUR,2020
TCA,2020
UKR,2020
ARE,2020
GBR,2020
USA,2020
URY,2020
VNM,2020
ZMB,2020
ALB,2021
AND,2021
AGO,2021
AIA,2021
ATG,2021
ARG,2021
ARM,2021
ABW,2021
AUS,2021
AUT,2021
BHS,2021
BHR,2021
BRB,2021
BLR,2021
BEL,2021
BLZ,2021
BEN,2021
BMU,2021
BIH,2021
BWA,2021
BRA,2021
VGB,2021
BRN,2021
BGR,2021
BFA,2021
CPV,2021
CMR,2021
CAN,2021
CYM,2021
CHL,2021
CHN,2021
COL,2021
COG,2021
COK,2021
CRI,2021
CIV,2021
HRV,2021
CUW,2021
CZE,2021
COD,2021
DNK,2021
DJI,2021
DMA,2021
DOM,2021
EGY,2021
EST,2021
SWZ,2021
FRO,2021
FIN,2021
FRA,2021
GAB,2021
GEO,2021
DEU,2021
GIB,2021
GRC,2021
GRL,2021
GRD,2021
GGY,2021
HTI,2021
HND,2021
HKG,2021
HUN,2021
ISL,2021
IND,2021
IDN,2021
IRL,2021
IMN,2021
ISR,2021
ITA,2021
JAM,2021
JPN,2021
JEY,2021
JOR,2021
KAZ,2021
KEN,2021
KOR,2021
LVA,2021
LBR,2021
LIE,2021
LTU,2021
LUX,2021
MAC,2021
MYS,2021
MDV,2021
MLT,2021
MUS,2021
MEX,2021
MCO,2021
MNG,2021
MNE,2021
MSR,2021
MAR,2021
NAM,2021
NLD,2021
NZL,2021
NGA,2021
MKD,2021
NOR,2021
OMN,2021
PAK,2021
PAN,2021
PNG,2021
PRY,2021
PER,2021
POL,2021
PRT,2021
QAT,2021
ROU,2021
RUS,2021
KNA,2021
LCA,2021
VCT,2021
WSM,2021
SMR,2021
SAU,2021
SEN,2021
SRB,2021
SYC,2021
SLE,2021
SGP,2021
SVK,2021
SVN,2021
ZAF,2021
ESP,2021
LKA,2021
SWE,2021
CHE,2021
THA,2021
TTO,2021
TUN,2021
TUR,2021
TCA,2021
UKR,2021
ARE,2021
GBR,2021
USA,2021
URY,2021
VNM,2021
ZMB,2021
